,File,Peaks
0,Z42UD9,"[327, 485, 644, 800, 963, 1129, 1292, 1458, 1626, 1784, 1947, 2110, 2269, 2435, 2604, 2767, 2928, 3090, 3250, 3409, 3573, 3733, 3896, 4064, 4223, 4384, 4550, 4714, 4879, 5046, 5209, 5376, 5539, 5697, 5859, 6020, 6177, 6340, 6508, 6667, 6830, 6991, 7148, 7308, 7469, 7626, 7786, 7944, 8100, 8259, 8420, 8578, 8736, 8897, 9052, 9209, 9367, 9520, 9675, 9834, 9990, 10145, 10306, 10464, 10620, 10779, 10935, 11091, 11248, 11403, 11559, 11719]"
1,TBDO96,"[610, 610, 917, 1074, 1227, 1374, 1519, 1669, 1822, 1978, 2136, 2299, 2460, 2615, 2769, 2923, 3076, 3230, 3382, 3538, 3699, 3858, 4025, 4190, 4350, 4518, 4688, 4855, 5016, 5180, 5346, 5509, 5675, 5841, 6009, 6169, 6333, 6499, 6666, 6836, 7009, 7175, 7338, 7506, 7668, 7831, 8004, 8173, 8342, 8515, 8679, 8842, 9006, 9169, 9334, 9501, 9663, 9828, 9994, 10158, 10321, 10486, 10645, 10807, 10969, 11127, 11289, 11463, 11625, 11781]"
2,XQLA1B,"[331, 493, 651, 812, 970, 1126, 1283, 1443, 1609, 1767, 1920, 2068, 2224, 2385, 2546, 2711, 2876, 3042, 3207, 3372, 3532, 3695, 3858, 4030, 4196, 4365, 4530, 4689, 4842, 4991, 5135, 5293, 5452, 5623, 5804, 5981, 6157, 6332, 6503, 6672, 6844, 7011, 7181, 7360, 7533, 7700, 7864, 8022, 8185, 8357, 8526, 8693, 8863, 9029, 9192, 9352, 9517, 9689, 9852, 10013, 10170, 10323, 10476, 10644, 10814, 10982, 11154, 11321, 11485, 11647, 11803]"
3,4T2N8C,"[284, 430, 586, 752, 910, 1071, 1240, 1412, 1587, 1748, 1908, 2064, 2216, 2366, 2513, 2654, 2794, 2937, 3085, 3239, 3400, 3563, 3725, 3891, 4052, 4216, 4373, 4525, 4672, 4818, 4979, 5137, 5294, 5444, 5592, 5739, 5885, 6029, 6174, 6316, 6464, 6620, 6777, 6940, 7103, 7264, 7427, 7583, 7732, 7880, 8034, 8189, 8348, 8509, 8671, 8833, 8994, 9157, 9321, 9483, 9645, 9805, 9963, 10123, 10286, 10452, 10617, 10786, 10954, 11119, 11285, 11453, 11619, 11782]"
4,H4773I,"[223, 396, 566, 732, 896, 1059, 1229, 1393, 1562, 1728, 1899, 2064, 2234, 2406, 2571, 2739, 2908, 3079, 3246, 3413, 3585, 3752, 3917, 4087, 4256, 4424, 4588, 4746, 4901, 5058, 5222, 5388, 5555, 5725, 5900, 6068, 6236, 6402, 6566, 6726, 6884, 7045, 7206, 7369, 7531, 7690, 7857, 8025, 8194, 8365, 8534, 8705, 8878, 9047, 9218, 9390, 9558, 9729, 9904, 10077, 10247, 10413, 10573, 10730, 10880, 11041, 11204, 11371, 11537, 11703]"
5,DXXMB7,"[228, 387, 548, 709, 864, 1011, 1155, 1305, 1462, 1629, 1783, 1931, 2075, 2225, 2377, 2532, 2686, 2839, 2994, 3147, 3300, 3455, 3611, 3763, 3916, 4069, 4231, 4406, 4574, 4741, 4912, 5079, 5245, 5417, 5591, 5759, 5927, 6093, 6252, 6417, 6581, 6740, 6902, 7067, 7235, 7401, 7570, 7733, 7896, 8061, 8228, 8393, 8559, 8727, 8894, 9065, 9235, 9401, 9569, 9735, 9896, 10058, 10218, 10377, 10540, 10707, 10871, 11035, 11198, 11361, 11527, 11696]"
6,75AHTX,"[269, 269, 461, 461, 656, 913, 913, 1044, 1233, 1420, 1604, 1604, 1793, 1976, 2157, 2341, 2532, 2720, 2904, 3088, 3279, 3465, 3644, 3644, 3820, 4000, 4176, 4352, 4520, 4692, 4864, 5032, 5204, 5372, 5539, 5711, 5884, 6065, 6240, 6416, 6601, 6784, 6956, 7129, 7301, 7480, 7660, 7837, 8012, 8012, 8188, 8364, 8537, 8716, 8785, 8896, 9077, 9077, 9253, 9429, 9601, 9773, 9944, 10101, 10253, 10401, 10545, 10697, 10861, 11037, 11214, 11389, 11569, 11746]"
7,1XU9TO,"[4129, 4297, 4463, 4625, 4794, 4972, 5139, 5304, 5484, 5673, 5869, 6068, 6068, 6267, 6468, 6669, 6669, 6872, 7036, 7272, 7473, 7473, 7675, 7871]"
8,FEEUBJ,"[398, 592, 784, 977, 1172, 1365, 1624, 1624, 1753, 1952, 2148, 2340, 2524, 2729, 2924, 3116, 3310, 3508, 3700, 3888, 3888, 4072, 4228, 4256, 4444, 4628, 4812, 4996, 5182, 5373, 5561, 5749, 5937, 6122, 6305, 6489, 6676, 6860, 7044, 7232, 7420, 7604, 7781, 7963, 8045, 8142, 8321, 8501, 8678, 8853, 9019, 9180, 9337, 9694, 9886, 9886, 10089, 10289, 10486, 10681, 11062, 11062, 11258, 11458, 11634]"
9,B1QHNH,"[157, 321, 533, 653, 812, 964, 1088, 1237, 1368, 1492, 1616, 1741, 1869, 2001, 2001, 2140, 2288, 2444, 2605, 2769, 2930, 3090, 3246, 3393, 3533, 3666, 3794, 3922, 4050, 4182, 4321, 4465, 4617, 4778, 4941, 5106, 5270, 5430, 5582, 5725, 5859, 5995, 6130, 6267, 6403, 6538, 6683, 6843, 7014, 7186, 7426, 7426, 7514, 7663, 7663, 7803, 7943, 8082, 8230, 8389, 8554, 8721, 8886, 9055, 9222, 9385, 9546, 9702, 9861, 10022, 10189, 10354, 10518, 10685, 10853, 11015, 11182, 11346, 11511, 11674]"
10,8WW680,"[139, 287, 434, 575, 719, 866, 1015, 1167, 1318, 1471, 1631, 1795, 1959, 2123, 2287, 2450, 2614, 2774, 2938, 3102, 3270, 3439, 3610, 3610, 3778, 3946, 4110, 4274, 4430, 4430, 4582, 4729, 4874, 5025, 5178, 5334, 5494, 5653, 5806, 5961, 6113, 6268, 6424, 6577, 6733, 6885, 7040, 7189, 7337, 7489, 7645, 7801, 7957, 8109, 8265, 8421, 8581, 8741, 8901, 9053, 9208, 9357, 9504, 9644, 9792, 9792, 9949, 10113, 10284, 10456, 10620, 10781, 10940, 11100, 11256, 11416, 11576, 11740]"
11,Q5XHNI,"[143, 292, 436, 576, 720, 864, 939, 1015, 1168, 1328, 1492, 1660, 1824, 1983, 1983, 2136, 2283, 2420, 2555, 2699, 2847, 3003, 3163, 3322, 7799, 7799, 7966, 8134, 8298, 8459, 8459, 8622, 8779, 8934, 9086, 9239, 9399, 9566, 9731, 9898, 10058, 10058, 10214, 10214, 10371, 10527, 10527, 10686, 10834, 10983, 11134, 11290, 11447, 11603, 11754]"
12,DHQZAV,"[129, 277, 420, 556, 689, 825, 964, 1105, 1256, 1413, 1580, 1753, 1925, 2100, 2273, 2449, 2540, 2693, 2693, 2801, 2976, 3069, 3152, 3328, 7799, 7827, 7999, 8171, 8311, 8507, 8619, 8843, 9007, 9007, 9170, 9170, 9334, 9494, 9651, 9803, 9947, 9947, 10098, 10254, 10415, 10587, 10755, 10922, 11087, 11254, 11422, 11594, 11758]"
13,EQXM0G,"[55, 231, 404, 580, 755, 920, 1076, 1224, 1380, 1539, 1704, 1876, 2048, 2216, 2391, 2564, 2740, 2916, 3084, 3256, 3428, 3600, 3769, 3940, 4112, 4281, 4453, 4617, 4781, 4941, 5104, 5261, 5428, 5597, 5769, 5941, 6109, 6273, 6273, 6441, 6605, 6769, 6929, 7086, 7249, 7413, 7574, 7741, 7901, 8058, 8213, 8357, 8498, 8802, 8954, 9110, 9262, 9410, 9613, 9822, 9950, 10146, 10206, 10333, 10466, 10605, 10758, 10926, 10926, 11090, 11246, 11406, 11574, 11746]"
14,3D8701,"[310, 446, 582, 718, 846, 974, 1102, 1230, 1366, 1498, 1627, 1762, 1902, 2038, 2175, 2319, 2467, 2610, 2743, 2874, 3003, 3134, 3267, 3406, 3541, 3679, 3822, 3959, 4095, 4233, 4371, 4507, 4639, 4771, 4904, 5047, 5187, 5331, 5476, 5624, 5764, 5903, 6043, 6184, 6316, 6444, 6572, 6704, 6843, 6984, 7116, 7252, 7393, 7536, 7676, 7813, 7952, 8092, 8224, 8356, 8485, 8617, 8757, 8896, 9025, 9153, 9281, 9409, 9545, 9677, 9812, 9953, 10097, 10241, 10369, 10497, 10625, 10753, 10885, 11018, 11158, 11301, 11454, 11602, 11742]"
15,IMSPJW,"[497, 637, 777, 922, 1070, 1209, 1349, 1485, 1629, 1777, 1921, 2073, 2229, 2381, 2525, 2669, 2817, 2960, 3101, 3241, 3380, 3513, 3644, 3776, 3912, 4044, 4177, 4320, 4460, 4604, 4736, 4872, 5008, 5140, 5272, 5404, 5532, 5664, 5800, 5932, 6072, 6216, 6356, 6492, 6620, 6744, 6871, 7000, 7136, 7268, 7404, 7544, 7692, 7832, 7964, 8100, 8236, 8368, 8496, 8620, 8748, 8876, 9012, 9148, 9276, 9408, 9536, 9668, 9796, 9924, 10052, 10184, 10328, 10468, 10604, 10744, 10892, 11036, 11172, 11308, 11448, 11584, 11712]"
